car_make,car_model,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Hyundai,i10,2016,139000,Automatic,,,,,            Drive          ,4,,23000
Lexus,LX,2020,66000,Automatic,,,,,            Drive          ,8,,410000
Land Rover,Rover,2016,74000,Automatic,,,,,            Drive          ,8,,234000
Honda,Accord,2019,45000,Automatic,,,,,            Drive          ,4,,95000
Dodge,Durango,2013,188000,Automatic,,,,,            Drive          ,6,,36000
Renault,Koleos,2015,95000,Automatic,,,,,            Drive          ,4,,26000
Ford,Flex,2013,319000,Automatic,,,,,            Drive          ,6,,40000
Chevrolet,Traverse,2016,159000,Automatic,,,,,            Drive          ,6,,45000
Kia,Sportage,2014,196000,Automatic,,,,,            Drive          ,4,,37000
BMW,3,2014,148000,Automatic,,,,,            Drive          ,4,,48000
Dodge,Durango,2014,226000,Automatic,,,,,            Drive          ,6,,61000
Nissan,Patrol,2016,198000,Manual,,,,,            Drive          ,8,,50000
Hyundai,Tucson,2017,186000,Automatic,,,,,            Drive          ,4,,56000
Toyota,Fortuner,2017,126000,Automatic,,,,,            Drive          ,4,,92000
Nissan,Patrol,2016,160000,Automatic,,,,,            Drive          ,8,,140000
Lexus,RX,2017,169000,Automatic,,,,,            Drive          ,6,,150000
Renault,Master,2021,36000,Manual,,,,,            Drive          ,4,,70000
Volkswagen,Passat,2012,220000,Automatic,,,,,            Drive          ,5,,31000
Hyundai,Santa,2020,104000,Automatic,,,,,            Drive          ,6,,89500
Chevrolet,Spark,2021,73000,Automatic,,,,,            Drive          ,4,,39000
Hyundai,Accent,2021,22000,Automatic,,,,,            Drive          ,4,,44000
BMW,X5,2010,262000,Automatic,,,,,            Drive          ,8,,41000
Hyundai,Accent,2013,333000,Automatic,,,,,            Drive          ,4,,16000
Hyundai,Sonata,2015,207000,Automatic,,,,,            Drive          ,4,,30500
GMC,Terrain,2011,197000,Automatic,,,,,            Drive          ,6,,26000
Toyota,Fortuner,2017,112000,Automatic,,,,,            Drive          ,4,,65000
Hyundai,Elantra,2017,87000,Automatic,,,,,            Drive          ,4,,51000
Nissan,Pathfinder,2014,216000,Automatic,,,,,            Drive          ,6,,45000
Ford,Expedition,2011,312000,Automatic,,,,,            Drive          ,8,,35000
Kia,Sorento,2016,239000,Automatic,,,,,            Drive          ,4,,25000
Ford,Ranger,2015,133000,Manual,,,,,            Drive          ,4,,40000
Hyundai,Tucson,2014,382000,Automatic,,,,,            Drive          ,4,,36000
Hyundai,Tucson,2016,277000,Automatic,,,,,            Drive          ,4,,36000
Audi,A8,2015,262000,Automatic,,,,,            Drive          ,6,,91500
Kia,Carens,2016,220000,Automatic,,,,,            Drive          ,4,,36000
Chrysler,300,2019,71000,Automatic,,,,,            Drive          ,6,,110000
Dodge,Charger,2018,133000,Automatic,,Grey,,,            Drive          ,8,,78000
GMC,Acadia,2014,163000,Automatic,,,,,            Drive          ,6,,61500
Toyota,Land,2017,131000,Automatic,,,,,            Drive          ,8,,172500
Toyota,Yaris,2012,386000,Automatic,,,,,            Drive          ,4,,16000
Nissan,Sunny,2019,91000,Automatic,,,,,            Drive          ,4,,32000
Hyundai,Sonata,2021,10,Automatic,Petrol,White,4.0,2500.0,            Front Wheel Drive          ,4,Perfect inside out,25000
Kia,Optima,2020,10,Automatic,Petrol,Silver,4.0,2000.0,            Front Wheel Drive          ,4,Perfect inside out,25000
Mercedes-Benz,ML500,1992,140703,Automatic,Petrol,Burgundy,4.0,,            All Wheel Drive          ,Not Sure,Perfect inside out,4800
Lexus,ES,2019,10,Automatic,Petrol,White,4.0,3.0,            Front Wheel Drive          ,6,Perfect inside out,45000
Hyundai,Elantra,2014,390000,Automatic,Petrol,White,4.0,,            Rear Wheel Drive          ,"N/A, Electric","Major wear and tear, to be sold as-is",18500
Toyota,Camry,2008,504000,Automatic,Petrol,Silver,4.0,2400.0,            Front Wheel Drive          ,4,Perfect inside out,15000
Hyundai,Elantra,2019,10,Automatic,Petrol,Black,4.0,1591.0,            Front Wheel Drive          ,4,Perfect inside out,20000
Hyundai,Tucson,2022,10,Automatic,Petrol,White,4.0,2.0,            All Wheel Drive          ,4,Perfect inside out,35000
Honda,Accord,2019,9,CVT,Petrol,Black,4.0,1498.0,            Front Wheel Drive          ,4,Perfect inside out,20000
Honda,CR-V,2018,10,CVT,Petrol,White,4.0,2356.0,            All Wheel Drive          ,4,Perfect inside out,15000
Honda,Accord,2018,10,Automatic,Petrol,Silver,4.0,1498.0,            Front Wheel Drive          ,4,Perfect inside out,15000
Lexus,ES,2019,10,Automatic,Petrol,Silver,4.0,3.0,            Front Wheel Drive          ,6,Perfect inside out,55000
Lexus,ES,2018,10,Automatic,Petrol,White,4.0,3.0,            Front Wheel Drive          ,6,Perfect inside out,35000
Hyundai,Tucson,2019,10,Automatic,Petrol,Black,5.0,2399.0,            All Wheel Drive          ,4,Perfect inside out,25000
BMW,7,2020,53000,Automatic,Petrol,Gray,4.0,3000.0,            Rear Wheel Drive          ,4,Perfect inside out,320000
BMW,7,2020,53000,Automatic,Petrol,Gray,4.0,1998.0,            Rear Wheel Drive          ,4,Perfect inside out,32000
Hyundai,Tucson,2020,10,Automatic,Petrol,White,5.0,2399.0,            All Wheel Drive          ,4,Perfect inside out,25000
Toyota,Camry,2018,9,Automatic,Petrol,Black,4.0,2487.0,            Front Wheel Drive          ,4,Perfect inside out,15000
Toyota,Camry,2019,8,Automatic,Petrol,White,4.0,2487.0,            Front Wheel Drive          ,4,Perfect inside out,30000
Toyota,Camry,2019,10,Automatic,Petrol,Black,4.0,2487.0,            Front Wheel Drive          ,4,Perfect inside out,30000
Honda,Accord,2018,10,Automatic,Petrol,White,4.0,1498.0,            Front Wheel Drive          ,4,Perfect inside out,15000
Kia,Sportage,2020,10,Automatic,Petrol,White,,2000.0,            Front Wheel Drive          ,4,Perfect inside out,25000
Land Rover,Rover,2021,10,Automatic,Petrol,White,5.0,2996.0,            All Wheel Drive          ,6,Perfect inside out,96000
Lexus,ES,2020,10,Automatic,Petrol,White,4.0,3.0,            Front Wheel Drive          ,6,Perfect inside out,45000
Hyundai,Tucson,2021,10,Automatic,Petrol,White,5.0,2399.0,            All Wheel Drive          ,4,Perfect inside out,35000
Toyota,Fortuner,2018,210000,Automatic,Petrol,White,5.0,2700.0,            Rear Wheel Drive          ,4,Perfect inside out,85000
Hyundai,H1,2016,135000,Automatic,Petrol,White,4.0,,            Front Wheel Drive          ,Not Sure,Perfect inside out,35000
Toyota,Camry,2017,108000,Automatic,Petrol,White,4.0,1600.0,            Front Wheel Drive          ,4,Perfect inside out,35000
Chevrolet,Tahoe,2010,150000,Automatic,,,,,            Drive          ,8,,36000
Mercedes-Benz,S-Class,2015,103000,Automatic,,,,,            Drive          ,6,,203000
Land Rover,Rover,2011,130000,Automatic,,,,,            Drive          ,6,,31000
Changan,CS85,2021,39000,Automatic,,,,,            Drive          ,4,,91500
Ford,Flex,2013,323000,Automatic,,,,,            Drive          ,6,,36000
Hyundai,Tucson,2015,74000,Automatic,,,,,            Drive          ,4,,51000
Toyota,Avalon,2011,309000,Automatic,,,,,            Drive          ,6,,49000
Mazda,6,2016,115000,Automatic,,,,,            Drive          ,4,,38000
Ford,Expedition,2013,295000,Automatic,,,,,            Drive          ,8,,36000
Honda,Accord,2014,244000,Automatic,,,,,            Drive          ,4,,40000
Mitsubishi,L200,2014,391000,Manual,,,,,            Drive          ,4,,27000
Nissan,Sentra,2015,169000,Automatic,,,,,            Drive          ,4,,28000
Toyota,Camry,2022,3000,Automatic,,,,,            Drive          ,4,,127000
BMW,7,2021,40000,Automatic,,,,,            Drive          ,4,,325000
